code,url,product_name,quantity,packaging_tags,categories_tags,origins,manufacturing_places_tags,labels_tags,countries_tags,ingredients_tags,allergens,traces,additives_tags,image_url
0014100096993,http://world-en.openfoodfacts.org/product/0014100096993/chocolate-chunk-classic-dark-chocolate-crispy-cookies-pepperidge-farm,Chocolate chunk classic dark chocolate crispy Cookies,8 cookies,,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:chocolate-biscuits",,,,"en:france,en:spain,en:switzerland","en:fortified-wheat-flour,en:cereal,en:flour,en:wheat,en:cereal-flour,en:wheat-flour,en:dark-chocolate,en:chocolate,en:sugar,en:added-sugar,en:disaccharide,en:palm-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:palm-oil-and-fat,en:butter,en:dairy,en:caramelised-sugar,en:egg,en:raising-agent,en:e336,en:e503,en:salt,en:flavouring,en:e375,en:iron,en:minerals,en:thiamin-mononitrate,en:thiamin,en:e101,en:folic-acid,en:folate,en:cocoa-paste,en:cocoa,en:cocoa-butter,en:dextrose,en:monosaccharide,en:glucose,en:emulsifier,en:vanilla-extract,en:plant,en:vanilla,en:ghee,en:fat,en:milkfat,en:butterfat,en:invert-sugar,en:molasses,en:e500ii,en:e500,en:soya-lecithin,en:e322,en:e322i",,,"en:e322,en:e322i,en:e336,en:e500,en:e500ii,en:e503",https://images.openfoodfacts.org/images/products/001/410/009/6993/front_fr.34.400.jpg
0014100097006,http://world-en.openfoodfacts.org/product/0014100097006/chocolate-chunk-milk-chocolate-macadamia-crispy-cookies,Chocolate Chunk Milk Chocolate Macadamia Crispy Cookies,204 g,"en:paper,en:packaging","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:chocolate-biscuits",,usa,"en:kosher,en:orthodox-union-kosher","en:france,en:switzerland,en:united-kingdom","en:fortified-wheat-flour,en:cereal,en:flour,en:wheat,en:cereal-flour,en:wheat-flour,en:milk-chocolate,en:chocolate,en:sugar,en:added-sugar,en:disaccharide,en:palm-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:palm-oil-and-fat,en:macadamia-nut,en:nut,en:tree-nut,en:butter,en:dairy,en:caramelised-sugar,en:egg,fr:noix-de-coco-rapee-dessechee,en:raising-agent,en:e336,en:e503,en:salt,en:flavouring,en:e375,en:reduced-iron,en:minerals,en:iron,en:thiamin-mononitrate,en:thiamin,en:e101,en:folic-acid,en:folate,en:cocoa-butter,en:cocoa,en:skimmed-milk-powder,en:milk-powder,en:cocoa-paste,en:ghee,en:fat,en:milkfat,en:butterfat,en:emulsifier,en:vanilla-extract,en:plant,en:vanilla,en:invert-sugar,en:monosaccharide,en:molasses,en:e500ii,en:e500,fr:pecan,fr:macadamia,en:walnut,fr:cajou,en:almond,en:soya-lecithin,en:e322,en:e322i","en:eggs,en:gluten,en:milk,en:nuts,en:soybeans,en:Cajou,en:Huile de beurre",,"en:e322,en:e322i,en:e336,en:e500,en:e500ii,en:e503",https://images.openfoodfacts.org/images/products/001/410/009/7006/front_fr.8.400.jpg
0014113230223,http://world-en.openfoodfacts.org/product/0014113230223/almonds-wonderful,Almonds,400 g,,,,,,"en:france,en:switzerland","en:almond,en:nut,en:tree-nut,en:salt",,,,https://images.openfoodfacts.org/images/products/001/411/323/0223/front_fr.18.400.jpg
0014113230230,http://world-en.openfoodfacts.org/product/0014113230230/almonds-wonderful,Almonds,400 g,"en:plastic,en:pp-polypropylene","en:plant-based-foods-and-beverages,en:plant-based-foods,en:nuts-and-their-products,en:nuts,en:almonds",,,,"en:france,en:switzerland","en:almond,en:nut,en:tree-nut",,en:nuts,,https://images.openfoodfacts.org/images/products/001/411/323/0230/front_fr.4.400.jpg
00141482,http://world-en.openfoodfacts.org/product/00141482/blutenhonig-flussig-migros,Blütenhonig flüssig,500 gr,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/00141482/front_de.3.400.jpg
0014190194999,http://world-en.openfoodfacts.org/product/0014190194999/stray-kids-i-am-not-mini-album,STRAY KIDS : I AM NOT (mini album),,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/001/419/019/4999/front_fr.3.400.jpg
001440119859,http://world-en.openfoodfacts.org/product/001440119859/cirio,,,,,,,,en:switzerland,,,,,
00144247,http://world-en.openfoodfacts.org/product/00144247/chocolat-chaud,Chocolat chaud,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/00144247/front_fr.3.400.jpg
0014800513240,http://world-en.openfoodfacts.org/product/0014800513240/tomato-cocktail-from-concentrate-clamato,Tomato cocktail from concentrate,946 ml  -  32 FLOZ,,"en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:tomatoes-and-their-products",,,,"en:switzerland,en:united-states","en:water,en:tomato-concentrate,en:vegetable,en:tomato,en:high-fructose-corn-syrup,en:added-sugar,en:disaccharide,en:monosaccharide,en:fructose,en:glucose,en:corn-syrup,en:glucose-fructose-syrup,en:e621,en:salt,en:e330,en:spice,en:condiment,en:onion,en:root-vegetable,en:garlic-powder,en:garlic,en:e300,en:dried-clam-broth,en:vinegar,en:natural-flavouring,en:flavouring,en:e129,en:red-chili-pepper,en:chili-pepper,en:colour-retention-agent",,,"en:e129,en:e330,en:e621",https://images.openfoodfacts.org/images/products/001/480/051/3240/front_en.12.400.jpg
00149198,http://world-en.openfoodfacts.org/product/00149198/luxemburgerli,Luxemburgerli,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/00149198/front_fr.3.400.jpg
00152297,http://world-en.openfoodfacts.org/product/00152297/melange-randonnee-sun-queen,Mélange Randonnée,200 g,fr:sacs-plastique,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:dried-products,en:dried-plant-based-foods,en:dried-fruits,en:dried-mixed-fruits",fr:indéterminé,suisse,,"en:italy,en:switzerland","en:raisin,en:fruit,en:grape,fr:raisins-secs-blonds,en:cashew-nuts,en:nut,en:tree-nut,en:hazelnut,en:pine-nuts,en:seed,en:pecan-nut,en:cottonseed-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:vegetable-oil,en:sunflower-oil,en:antioxidant,en:e220",en:nuts,"en:nuts,en:peanuts",en:e220,https://images.openfoodfacts.org/images/products/00152297/front_fr.5.400.jpg
00154415,http://world-en.openfoodfacts.org/product/00154415/huile-de-tournesol-abcde,huile de tournesol,3l,en:battle,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fats,en:vegetable-fats,en:vegetable-oils,en:sunflower-seeds-and-their-products,en:sunflower-oils",,,,en:switzerland,,,,,
00155052,http://world-en.openfoodfacts.org/product/00155052/chocoladen-haselnuss-creme,Chocoladen Haselnuss-Crème,,,,,,,en:switzerland,"en:hazelnut,en:nut,en:tree-nut,en:sugar,de:schokolade-215,de:kann-mandeln-enthalten,en:cocoa-paste,en:cocoa,en:cocoa-butter,en:emulsifier,en:bourbon-vanilla,en:plant,en:vanilla,de:sojalezithin",,,,https://images.openfoodfacts.org/images/products/00155052/front_de.3.400.jpg
0015869017113,http://world-en.openfoodfacts.org/product/0015869017113/babymohren-bofrost,Babymohren,500 g,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:carrots",,,,en:switzerland,"en:baby-carrots,en:vegetable,en:root-vegetable,en:carrot",,,,https://images.openfoodfacts.org/images/products/001/586/901/7113/front_fr.3.400.jpg
00159777,http://world-en.openfoodfacts.org/product/00159777/carres-orange,Carres Orange,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/00159777/front_fr.3.400.jpg
